player_id,bb_count,air,pull_air,pull_fb,pull,fly_ball,line_drive,ground,avg_ev,avg_la,pull_air_pct,pull_fb_pct,pull_pct,air_pct
802415,85,30,6,0,24,5,25,51,79.54235294117647,-2.788235294117647,7.0588235294117645,0.0,28.235294117647058,35.294117647058826
676391,85,44,19,3,42,20,24,31,86.7764705882353,15.24705882352941,22.352941176470587,3.5294117647058822,49.411764705882355,51.76470588235294
805779,83,38,11,3,28,17,21,41,84.15975609756099,6.475609756097561,13.25301204819277,3.6144578313253013,33.734939759036145,45.78313253012048
680757,81,36,6,2,27,18,18,37,79.51851851851852,11.518518518518519,7.407407407407407,2.4691358024691357,33.333333333333336,44.44444444444444
695734,79,48,14,2,36,27,21,30,88.51538461538462,14.73076923076923,17.72151898734177,2.5316455696202533,45.56962025316456,60.75949367088607
650333,78,37,9,6,28,22,15,35,83.60384615384616,14.461538461538462,11.538461538461538,7.6923076923076925,35.8974358974359,47.43589743589744
686948,78,38,13,6,35,18,20,35,90.13974358974359,12.448717948717949,16.666666666666668,7.6923076923076925,44.87179487179487,48.717948717948715
663538,78,42,14,7,32,21,21,28,85.54805194805195,14.584415584415584,17.94871794871795,8.974358974358974,41.02564102564103,53.84615384615385
645277,76,42,14,5,32,24,18,30,86.05,15.921052631578947,18.42105263157895,6.578947368421052,42.10526315789474,55.26315789473684
666176,76,41,9,4,26,24,17,30,91.67866666666666,19.013333333333332,11.842105263157896,5.2631578947368425,34.21052631578947,53.94736842105263
670541,76,52,24,15,39,35,17,18,93.90657894736842,22.31578947368421,31.57894736842105,19.736842105263158,51.31578947368421,68.42105263157895
621493,75,46,10,1,29,23,23,25,90.41866666666667,18.053333333333335,13.333333333333334,1.3333333333333333,38.666666666666664,61.333333333333336
676475,75,35,11,5,35,23,12,36,91.59866666666666,10.346666666666666,14.666666666666666,6.666666666666667,46.666666666666664,46.666666666666664
608324,75,31,14,7,37,17,14,36,90.89054054054054,12.533333333333333,18.666666666666668,9.333333333333334,49.333333333333336,41.333333333333336
672580,75,37,13,4,34,19,18,34,89.58800000000001,9.386666666666667,17.333333333333332,5.333333333333333,45.333333333333336,49.333333333333336
669364,74,36,7,3,27,17,19,34,89.04324324324324,8.58108108108108,9.45945945945946,4.054054054054054,36.486486486486484,48.648648648648646
807712,74,36,7,2,27,22,14,32,85.54520547945205,16.493150684931507,9.45945945945946,2.7027027027027026,36.486486486486484,48.648648648648646
