player_id,player,b_total_pa,exit_velocity_avg,iz_contact_percent,z_swing_percent,oz_swing_percent,barrel_batted_rate,hard_hit_percent,woba,xwoba,xslg,age,primary_position,bats,mlb_debut,yrs_since_debut,est_yrs_to_fa,team_abbr,pull_air_pct,composite_z,min_z,rank_composite_z,swg_dec,contract_through,contract_note,fa_year
641343,Jake Bauers,95,93.3,82.9,69.7,20.1,10.3,55.9,0.34,0.339,0.483,30.56,1B,L,2018-06-07,7.89,0.0,MIL,17.307692307692307,0.8102782444904284,-0.1682566049805497,9.0,74.80000000000001,2026,service-time proxy,2027
670623,Isaac Paredes,98,88.2,87.8,63.0,29.0,2.9,27.5,0.323,0.287,0.314,27.19,3B,R,2020-08-17,5.7,0.3,HOU,32.69230769230769,0.5409869723839755,-0.3624680748640537,29.0,67.0,2026,service-time proxy,2027
642086,Dominic Smith,68,89.5,90.1,70.4,43.6,8.8,38.6,0.41,0.401,0.56,30.87,1B,L,2017-08-11,8.71,0.0,ATL,24.489795918367346,0.2061572589029452,-1.2679316466260202,96.0,63.400000000000006,2026,service-time proxy,2027
647304,Josh Naylor,113,87.2,84.1,80.0,36.8,7.1,37.6,0.268,0.314,0.397,28.85,1B,L,2019-05-24,6.93,0.0,SEA,20.0,0.1874484913814736,-0.7156298594583917,99.0,71.6,2026,service-time proxy,2027
665489,Vladimir Guerrero Jr.,115,93.0,82.6,69.3,29.7,13.6,48.9,0.381,0.389,0.499,27.12,1B,R,2019-04-26,7.01,0.0,TOR,10.0,0.1637916763111443,-1.0002757022235382,107.0,69.8,2026,service-time proxy,2027
650859,Luis Rengifo,85,87.3,86.9,68.2,27.6,7.6,37.9,0.229,0.285,0.334,29.17,3B,S,2019-04-25,7.01,0.0,MIL,17.647058823529413,0.1331197370915719,-0.68031368099896,113.0,70.30000000000001,2026,service-time proxy,2027
645277,Ozzie Albies,124,86.3,84.9,80.8,37.9,3.0,28.7,0.37,0.298,0.385,29.31,2B,S,2017-08-01,8.74,0.0,ATL,18.42105263157895,0.0738888441573548,-1.0334754655932978,129.0,71.45,2026,service-time proxy,2027
663647,Ke'Bryan Hayes,76,90.8,95.7,57.0,28.5,11.7,38.3,0.181,0.322,0.436,29.25,3B,R,2020-09-01,5.66,0.3,CIN,8.0,0.0263511249895921,-1.279781285118492,146.0,64.25,2026,service-time proxy,2027
660162,Yoán Moncada,92,90.2,81.0,53.0,19.0,8.7,41.3,0.321,0.294,0.31,30.92,3B,S,2016-09-02,9.65,0.0,LAA,20.512820512820515,0.0229990540671135,-0.4689477859181485,148.0,67.0,2026,service-time proxy,2027
650333,Luis Arraez,115,86.2,93.6,66.5,29.8,0.0,17.1,0.32,0.315,0.374,29.05,2B,L,2019-05-18,6.95,0.0,SF,11.538461538461538,-0.0499369733850482,-1.0687916440527296,168.0,68.35,2026,service-time proxy,2027
671277,Luis García Jr.,96,91.7,91.7,66.1,40.8,6.4,43.6,0.285,0.324,0.44,25.95,1B,L,2020-08-14,5.71,0.3,WSH,10.0,-0.0954695767090645,-1.479619114138226,177.0,62.65,2026,service-time proxy,2027
663697,Jonathan India,58,85.7,80.6,60.0,17.9,5.7,31.4,0.294,0.286,0.289,29.37,2B,R,2021-04-01,5.08,0.9,KC,20.0,-0.1222727486328849,-1.2453725363498986,185.0,71.05,2026,"Jonathan India: arb-3, FA after 2026",2027
666182,Bo Bichette,123,91.3,90.4,71.2,41.8,3.3,45.6,0.257,0.309,0.386,28.15,3B,R,2019-07-29,6.75,0.0,NYM,7.142857142857143,-0.1373900926229335,-1.3995693920734722,188.0,64.7,2026,service-time proxy,2027
642708,Amed Rosario,63,90.9,83.8,73.4,39.1,12.5,39.6,0.351,0.381,0.574,30.44,3B,R,2017-08-01,8.74,0.0,NYY,10.526315789473683,-0.1427427768279872,-0.9267216014617085,193.0,67.15,2026,service-time proxy,2027
663538,Nico Hoerner,131,86.2,98.3,52.2,32.8,2.8,27.4,0.37,0.348,0.402,28.96,2B,R,2019-09-09,6.64,0.0,CHC,17.94871794871795,-0.250385941272586,-2.312256486352893,215.0,59.7,2026,service-time proxy,2027
663586,Austin Riley,124,90.3,77.9,66.8,30.7,8.2,43.5,0.294,0.31,0.384,29.07,3B,R,2019-05-15,6.96,0.0,ATL,13.432835820895525,-0.2640935438335209,-0.959549186395281,217.0,68.05,2026,service-time proxy,2027
650489,Willi Castro,76,88.0,76.9,72.5,35.9,7.1,40.5,0.303,0.285,0.355,29.01,2B,S,2019-08-24,6.68,0.0,COL,13.157894736842104,-0.498691522748333,-1.1178077026782272,252.0,68.3,2026,service-time proxy,2027
664761,Alec Bohm,110,88.6,86.1,60.8,24.9,1.2,38.3,0.197,0.271,0.297,29.74,3B,R,2020-08-13,5.71,0.3,PHI,1.6129032258064515,-0.509780736544329,-2.172395888557215,254.0,67.94999999999999,2026,service-time proxy,2027
650402,Gleyber Torres,123,84.0,81.6,62.5,16.9,6.3,26.3,0.335,0.343,0.36,29.37,2B,R,2018-04-22,8.02,0.0,DET,2.9411764705882355,-0.7053220737272552,-1.986765994793963,283.0,72.8,2026,service-time proxy,2027
