season,split,team,pa,ab,h,hr,bb,so,rbi,avg,obp,slg,ops
2026,b2,Detroit Tigers,105,87,22,0,17,15,6,0.253,0.371,0.31,0.681
2026,b2,Colorado Rockies,105,98,24,3,5,26,10,0.245,0.288,0.398,0.686
2026,b2,Cleveland Guardians,106,94,23,7,11,15,13,0.245,0.33,0.521,0.851
2026,b2,Los Angeles Angels,111,84,20,7,23,23,16,0.238,0.418,0.536,0.954
2026,b2,Minnesota Twins,100,81,19,1,15,24,6,0.235,0.36,0.346,0.706
2026,b2,Baltimore Orioles,109,94,22,4,12,26,12,0.234,0.33,0.447,0.777
2026,b2,New York Yankees,96,83,19,7,11,30,13,0.229,0.326,0.53,0.856
2026,b2,New York Mets,98,92,21,1,6,22,6,0.228,0.276,0.283,0.559
2026,b2,Washington Nationals,111,105,23,2,6,15,16,0.219,0.261,0.352,0.613
2026,b2,Philadelphia Phillies,98,80,17,7,14,34,14,0.213,0.357,0.525,0.882
2026,b2,St. Louis Cardinals,102,78,16,2,18,14,11,0.205,0.382,0.321,0.703
2026,b2,Cincinnati Reds,105,85,16,1,17,26,5,0.188,0.343,0.271,0.614
2026,b2,Chicago Cubs,103,91,17,3,12,22,4,0.187,0.282,0.297,0.579
2026,b2,Texas Rangers,98,88,15,3,9,24,7,0.17,0.255,0.364,0.619
2026,b2,Seattle Mariners,108,96,15,3,11,34,12,0.156,0.241,0.281,0.522
2026,b2,Boston Red Sox,101,88,12,1,9,27,5,0.136,0.248,0.193,0.441
