player_id,player,b_total_pa,exit_velocity_avg,iz_contact_percent,z_swing_percent,oz_swing_percent,barrel_batted_rate,hard_hit_percent,woba,xwoba,xslg,age,primary_position,bats,mlb_debut,team,team_id,team_abbr,pull_air_pct,bb_count,composite_z,min_z,rank_composite_z,z_ev,z_pullair,z_izcon,z_swgdec,swg_dec,pos_match,age_ok,pa_ok,team_ok,contract_through,contract_type,contract_note,yrs_since_debut,est_yrs_to_fa,years_left
669477,Casey Schmitt,89,91.4,86.7,67.7,32.7,15.9,50.8,0.386,0.369,0.54,27.16,1B,R,2023-05-09,San Francisco Giants,137.0,SF,28.88888888888889,45.0,0.6823919539616036,-0.1107068242259742,18.0,0.7676496358378289,1.639499247339914,0.4331257568946455,-0.1107068242259742,67.5,True,True,True,True,,,,2.97,3.0,3
681198,TJ Rumfield,113,86.3,92.3,75.7,30.4,8.4,38.6,0.326,0.342,0.441,25.95,1B,L,2026-03-27,Colorado Rockies,115.0,COL,24.615384615384617,65.0,0.667760882757994,-1.0334754655932978,19.0,-1.0334754655932978,1.0422650958549702,1.3193734480791437,1.3428804526911602,72.65,True,True,True,True,,,,0.09,5.9,6
678246,Miguel Vargas,121,89.0,81.8,68.8,16.5,13.4,43.9,0.356,0.374,0.475,26.45,3B,R,2022-08-03,Chicago White Sox,145.0,CWS,19.672131147540984,61.0,0.5649768264731178,-0.3423409728917919,27.0,-0.0799386471885843,0.3514316248914022,-0.3423409728917919,2.330755301081445,76.15,True,True,True,True,,,,3.74,2.3,2
670623,Isaac Paredes,98,88.2,87.8,63.0,29.0,2.9,27.5,0.323,0.287,0.314,27.19,3B,R,2020-08-17,Houston Astros,117.0,HOU,32.69230769230769,52.0,0.5409869723839755,-0.3624680748640537,29.0,-0.3624680748640537,2.1710376421615143,0.6072101248058855,-0.2518318025674435,67.0,True,True,True,True,,,,5.7,0.3,0
686469,Vinnie Pasquantino,120,88.6,87.2,66.5,31.2,7.5,35.0,0.262,0.291,0.34,28.55,1B,L,2022-06-28,Kansas City Royals,118.0,KC,25.37313432835821,67.0,0.3427112641869548,-0.2212033610263215,68.0,-0.2212033610263215,1.148162733461554,0.5122550150361187,-0.0683693307235319,67.65,True,True,True,True,,,,3.84,2.2,2
672580,Maikel Garcia,112,89.8,93.1,54.0,20.4,8.8,43.8,0.326,0.339,0.389,26.15,3B,R,2022-07-15,Kansas City Royals,118.0,KC,17.333333333333332,75.0,0.3412168373532447,-0.308281793904032,70.0,0.202590780486885,0.0245781017246254,1.4459802611055002,-0.308281793904032,66.8,True,True,True,True,,,,3.79,2.2,2
691720,Kyle Karros,99,89.9,89.1,60.4,21.9,6.5,37.1,0.289,0.358,0.397,23.76,3B,R,2025-08-08,Colorado Rockies,115.0,COL,13.043478260869565,46.0,0.2147856588329751,-0.5749411195573043,93.0,0.2379069589463218,-0.5749411195573043,0.8129461959737152,0.383230599969168,69.25,True,True,True,True,,,,0.72,5.3,5
665489,Vladimir Guerrero Jr.,115,93.0,82.6,69.3,29.7,13.6,48.9,0.381,0.389,0.499,27.12,1B,R,2019-04-26,Toronto Blue Jays,141.0,TOR,10.0,70.0,0.1637916763111443,-1.0002757022235382,107.0,1.3327084911887677,-1.0002757022235382,-0.2157341598654354,0.5384680761447833,69.8,True,True,True,True,,,,7.01,0.0,0
672960,Kazuma Okamoto,108,91.8,78.2,63.1,25.6,12.5,51.6,0.315,0.331,0.439,29.83,3B,R,2026-03-27,Toronto Blue Jays,141.0,TOR,20.0,50.0,0.1590501380110232,-0.9120716315103976,108.0,0.908914349675561,0.3972522122512306,-0.9120716315103976,0.2421056216276987,68.75,True,True,True,True,,,,0.09,5.9,6
666397,Edouard Julien,84,90.3,81.9,60.0,20.9,9.4,43.4,0.346,0.359,0.453,27.0,2B,L,2023-04-12,Colorado Rockies,115.0,COL,17.94871794871795,39.0,0.1577854895082661,-0.3265151212634959,109.0,0.379171672784054,0.1105798195384575,-0.3265151212634959,0.4679055869740487,69.55,True,True,True,True,,,,3.05,3.0,3
