player,player_id,b_total_pa,bb_count,exit_velocity_avg,pull_air_pct,iz_contact_pct,swg_dec,z_ev,z_pullair,z_izcon,z_swgdec,composite_z,min_z,rank_ev,rank_pullair,rank_izcon,rank_swgdec,rank_composite_z,rank_min_z,z_swing_percent,oz_swing_percent,iz_contact_percent,woba,xwoba,barrel_batted_rate,hard_hit_percent
Casey Schmitt,669477,89,45.0,91.4,28.88888888888889,86.7,67.5,0.7676496358378289,1.639499247339914,0.43312575689464555,-0.11070682422597429,0.6823919539616036,-0.11070682422597429,57,11,105,158,18,25,67.7,32.7,86.7,0.386,0.369,15.9,50.8
TJ Rumfield,681198,113,65.0,86.3,24.615384615384617,92.3,72.65,-1.0334754655932978,1.0422650958549702,1.3193734480791435,1.3428804526911602,0.667760882757994,-1.0334754655932978,256,41,28,22,19,152,75.7,30.4,92.3,0.326,0.342,8.4,38.6
Andrew Benintendi,643217,88,37.0,90.5,43.24324324324324,73.6,68.55,0.4498040297029226,3.6455603377871797,-1.6400608064119515,0.18565563029111026,0.6602397978423152,-1.6400608064119515,88,2,277,124,20,230,73.3,36.2,73.6,0.276,0.289,11.1,61.1
Chase DeLauter,800050,104,63.0,89.4,22.22222222222222,90.6,70.65,0.061326066649152855,0.7078139710234014,1.0503339703981345,0.7783805393252834,0.649463636848993,0.061326066649152855,137,66,44,70,21,10,61.7,20.4,90.6,0.359,0.366,9.6,38.6
Juan Soto,665742,55,25.0,89.9,20.0,88.1,72.44999999999999,0.23790695894632186,0.39725221225123064,0.6546876796907689,1.2864304613545678,0.6440693280607224,0.23790695894632186,112,94,76,28,22,4,69.1,24.2,88.1,0.374,0.399,13.2,39.5
Carlos Cortes,666126,67,40.0,92.0,15.0,87.4,72.55,0.9795467065944297,-0.30151174498615374,0.5439067182927083,1.3146554570228641,0.6341492842309621,-0.30151174498615374,45,184,90,24,23,41,68.8,23.7,87.4,0.482,0.466,15.8,52.6
Trent Grisham,663757,101,48.0,91.4,20.83333333333333,92.5,67.55,0.7676496358378289,0.5137128717907941,1.3510251513357332,-0.09659432639182816,0.6339483331431319,-0.09659432639182816,57,88,26,156,24,21,50.0,14.9,92.5,0.307,0.357,12.1,51.5
Jake Fraley,641584,59,35.0,86.5,22.857142857142858,91.8,72.9,-0.9628431086744293,0.7965459021011646,1.2402441899376704,1.4134429418618948,0.6218474813065751,-0.9628431086744293,249,62,36,18,25,139,66.9,21.1,91.8,0.342,0.314,10.3,25.6
Kyle Tucker,663656,120,63.0,89.0,19.047619047619047,84.0,75.4,-0.07993864718858434,0.26415431563458597,0.005827762930690231,2.119067833569241,0.5772778162364832,-0.07993864718858434,162,115,154,4,26,19,75.5,24.7,84.0,0.31,0.311,7.1,40.5
Miguel Vargas,678246,121,61.0,89.0,19.672131147540984,81.8,76.15,-0.07993864718858434,0.35143162489140223,-0.34234097289179194,2.330755301081445,0.5649768264731178,-0.34234097289179194,162,102,194,2,27,47,68.8,16.5,81.8,0.356,0.374,13.4,43.9
Spencer Torkelson,679529,107,43.0,91.1,23.25581395348837,81.5,71.69999999999999,0.6617011004595235,0.852261300684876,-0.38981852777667536,1.074742993842364,0.549721716802522,-0.38981852777667536,63,59,200,42,28,55,60.3,16.9,81.5,0.372,0.392,16.9,47.5
Isaac Paredes,670623,98,52.0,88.2,32.69230769230769,87.8,67.0,-0.36246807486405375,2.1710376421615143,0.6072101248058855,-0.25183180256744353,0.5409869723839755,-0.36246807486405375,191,6,81,181,29,50,63.0,29.0,87.8,0.323,0.287,2.9,27.5
Shohei Ohtani,660271,129,60.0,94.6,25.0,84.9,64.2,1.8977673465397065,1.096016169488615,0.14826042758534275,-1.0421316812796704,0.5249780655834985,-1.0421316812796704,10,32,130,251,30,158,60.2,31.8,84.9,0.384,0.413,21.8,52.6
Dominic Canzone,686527,68,42.0,95.1,23.80952380952381,80.8,66.45,2.0743482388368752,0.9296437987178093,-0.5005994891747382,-0.40706927874305887,0.5240808174092219,-0.5005994891747382,8,52,213,202,31,73,64.5,31.6,80.8,0.373,0.396,16.3,49.0
Richie Palacios,680700,51,29.0,86.9,24.13793103448276,90.3,71.0,-0.8215783948366921,0.9755396251373423,1.002856415513251,0.8771680241643103,0.5084964174945529,-0.8215783948366921,237,47,49,60,32,123,63.3,21.3,90.3,0.362,0.392,6.1,33.3
Shea Langeliers,669127,122,62.0,93.1,14.516129032258064,87.7,69.4,1.3680246696481995,-0.3691340634284813,0.5913842731775918,0.42556809347161034,0.5039607432172301,-0.3691340634284813,26,193,84,105,33,53,74.5,35.7,87.7,0.399,0.386,12.3,49.4
Jakob Marsee,805300,126,64.0,88.1,21.875,94.6,68.1,-0.39778425332349054,0.6592886962152498,1.6833680355299194,0.05864314978378717,0.5008789070513665,-0.39778425332349054,198,76,8,142,34,56,55.9,19.7,94.6,0.282,0.289,2.4,39.3
Victor Caratini,605170,88,56.0,87.7,25.0,94.7,66.95,-0.5390489671612227,1.096016169488615,1.6991938871582155,-0.2659443004015896,0.4975541972710046,-0.5390489671612227,214,32,7,185,35,81,59.0,25.1,94.7,0.28,0.355,4.8,33.3
Dansby Swanson,621020,117,53.0,90.3,28.30188679245283,79.0,70.85,0.379171672784054,1.5574640657774537,-0.7854648184840409,0.8348305306618679,0.49650036268483366,-0.7854648184840409,95,16,235,66,36,118,63.3,21.6,79.0,0.339,0.348,12.5,47.2
Austin Martin,668885,76,36.0,86.0,22.22222222222222,91.5,72.15,-1.1394240009715983,0.7078139710234014,1.192766635052787,1.201755474349691,0.4907280198635703,-1.1394240009715983,263,66,38,33,37,170,55.8,11.5,91.5,0.436,0.385,4.7,39.5
Carson Kelly,608348,83,43.0,91.3,16.27906976744186,90.0,69.25,0.7323334573783921,-0.12275817453007862,0.9553788606283676,0.383230599969168,0.4870461858614622,-0.12275817453007862,60,163,56,109,38,29,63.4,24.9,90.0,0.397,0.38,12.5,50.0
Miguel Andujar,609280,64,39.0,89.7,23.07692307692308,90.6,67.5,0.16727460202745326,0.8272608013203907,1.0503339703981345,-0.11070682422597429,0.483540637380001,-0.11070682422597429,125,60,44,158,39,25,69.7,34.7,90.6,0.351,0.287,2.0,45.1
Michael Harris II,671739,100,58.0,94.5,18.96551724137931,87.5,65.25,1.8624511680802747,0.2526803590297027,0.5597325699210021,-0.7457692267625857,0.48227371756709836,-0.7457692267625857,13,118,86,234,40,114,71.0,40.5,87.5,0.398,0.458,19.5,55.8
Marcus Semien,543760,110,62.0,86.7,27.41935483870968,84.6,72.35,-0.8922107517555607,1.434127761700253,0.10078287270045708,1.2582054656862756,0.4752263370828562,-0.8922107517555607,243,18,137,30,41,130,73.8,29.1,84.6,0.262,0.287,7.6,34.2
Moisés Ballesteros,694208,65,36.0,92.0,19.444444444444443,86.1,68.8,0.9795467065944297,0.3196117725581877,0.33817064712487643,0.25621811946184486,0.4733868114348347,0.25621811946184486,45,106,112,121,42,3,71.8,34.2,86.1,0.487,0.383,13.7,56.9
Cedric Mullins,656775,97,59.0,88.2,22.033898305084747,84.1,73.35,-0.36246807486405375,0.681495177907116,0.021653614558983954,1.540455422369214,0.470284034992815,-0.36246807486405375,191,72,150,13,43,50,75.0,28.3,84.1,0.207,0.217,2.9,31.9
William Contreras,661388,110,63.0,89.5,17.46031746031746,90.3,70.25,0.09664224510858464,0.042324487940178006,1.002856415513251,0.6654805566521064,0.45182592630353,0.042324487940178006,131,146,49,80,44,13,67.0,26.5,90.3,0.322,0.33,7.0,43.0
Wilyer Abreu,677800,113,62.0,90.8,20.967741935483872,84.6,70.05,0.5557525650812231,0.5324968491358858,0.10078287270045708,0.6090305653155179,0.449515713058271,0.10078287270045708,75,86,137,83,45,8,67.0,26.9,84.6,0.377,0.378,12.5,50.0
Adley Rutschman,668939,56,28.0,89.2,25.0,92.6,65.55,-0.009306290269715745,1.096016169488615,1.366851002964027,-0.6610942397577051,0.4481166606063053,-0.6610942397577051,152,32,23,229,46,99,57.6,26.5,92.6,0.44,0.315,6.8,47.7
Carter Jensen,695600,94,42.0,90.8,26.19047619047619,80.7,69.5,0.5557525650812231,1.2623885402594208,-0.5164253408030319,0.4537930891399026,0.4388772134193787,-0.5164253408030319,75,27,216,100,47,76,64.1,25.1,80.7,0.377,0.342,12.1,43.1
Kyle Schwarber,656941,125,46.0,92.8,23.91304347826087,77.4,69.9,1.262076134269899,0.9441109613935317,-1.038678444536754,0.5666930718130796,0.4335504307349391,-1.038678444536754,32,51,252,87,48,156,62.8,23.0,77.4,0.378,0.373,21.0,51.6
Jeff McNeil,643446,96,57.0,87.2,12.280701754385966,90.1,75.4,-0.7156298594583917,-0.6815412655889417,0.9712047122566614,2.119067833569241,0.4232753551946422,-0.7156298594583917,226,226,53,4,49,108,81.6,30.8,90.1,0.335,0.34,1.4,36.5
Junior Caminero,691406,122,72.0,91.9,25.0,84.4,66.4,0.9442305281349979,1.096016169488615,0.06913116944386963,-0.42118177657720496,0.4220490226225694,-0.42118177657720496,48,32,143,204,50,64,62.4,29.6,84.4,0.364,0.363,10.8,45.2
Nick Kurtz,701762,125,42.0,98.1,16.666666666666668,71.9,69.4,3.1338335926198893,-0.06859042590702547,-1.9091002840929583,0.42556809347161034,0.39542774402287895,-1.9091002840929583,1,154,284,105,51,255,59.3,20.5,71.9,0.384,0.424,21.8,63.6
Brandon Nimmo,607043,128,69.0,91.1,20.28985507246377,84.9,69.05,0.6617011004595235,0.4377602677432531,0.14826042758534275,0.32678060863257946,0.3936256011051747,0.14826042758534275,63,93,130,116,52,6,67.5,29.4,84.9,0.354,0.365,10.8,48.4
Bryan Reynolds,668804,124,55.0,91.1,18.181818181818183,84.3,70.35,0.6617011004595235,0.14315622780127288,0.053305317815573655,0.6937055523203987,0.38796704959919215,0.053305317815573655,63,130,147,76,53,12,65.7,25.0,84.3,0.336,0.343,8.6,42.9
Heliot Ramos,671218,104,49.0,93.2,12.244897959183673,85.7,69.8,1.4033408481076362,-0.6865449459128758,0.2748672406116993,0.5384680761447833,0.3825328047378107,-0.6865449459128758,24,228,117,90,54,104,75.0,35.4,85.7,0.314,0.336,16.7,56.1
Brice Turang,668930,116,51.0,93.3,7.84313725490196,87.1,71.05,1.438657026567068,-1.301703291620057,0.49642916340782267,0.8912805219984563,0.38116585508832246,-1.301703291620057,19,266,96,58,55,190,60.6,18.5,87.1,0.378,0.402,10.4,53.7
Francisco Lindor,596019,105,70.0,90.9,20.0,83.3,70.15,0.5910687435406599,0.39725221225123064,-0.10495319846737258,0.6372555609838142,0.38015582957708305,-0.10495319846737258,71,94,165,82,56,24,68.0,27.7,83.3,0.305,0.341,9.5,43.2
Fernando Tatis Jr.,665487,118,62.0,94.6,4.838709677419355,85.1,71.9,1.8977673465397065,-1.7215804322750317,0.1799121308419302,1.1311929851789564,0.37182300757139036,-1.7215804322750317,10,285,129,38,57,241,71.2,27.4,85.1,0.29,0.358,12.7,67.1
Henry Davis,680779,65,35.0,88.8,17.142857142857142,87.2,71.85,-0.15057100410745294,-0.002041477598703382,0.5122550150361187,1.1170804873448064,0.3691807551686922,-0.15057100410745294,170,150,93,39,58,30,72.3,28.6,87.2,0.237,0.237,4.2,33.3
JJ Wetherholt,802139,124,62.0,89.4,20.967741935483872,82.3,71.95,0.061326066649152855,0.5324968491358858,-0.26321171475031885,1.1453054830131026,0.3689791710119556,-0.26321171475031885,137,86,187,37,59,38,65.9,22.0,82.3,0.355,0.359,9.5,45.2
Corey Seager,608369,117,54.0,89.8,18.51851851851852,78.2,74.94999999999999,0.20259078048688503,0.19021103973645015,-0.9120716315103975,1.9920553530619138,0.3681963854437129,-0.9120716315103975,118,122,244,8,60,134,80.8,30.9,78.2,0.316,0.336,13.3,41.3
Jung Hoo Lee,808982,109,63.0,89.3,12.698412698412698,96.0,68.44999999999999,0.026009888189716047,-0.6231649951430451,1.904929958326045,0.157430634622814,0.36630137149888253,-0.6231649951430451,144,222,4,129,61,94,62.8,25.9,96.0,0.364,0.342,3.4,39.1
Christian Walker,572233,118,68.0,90.7,14.705882352941176,85.5,71.44999999999999,0.5204363866217913,-0.34261550717658823,0.2432155373551096,1.0041805046716292,0.3563042303679855,-0.34261550717658823,83,188,121,50,62,48,71.1,28.2,85.5,0.406,0.367,14.6,50.0
Daulton Varsho,662139,96,56.0,84.7,25.0,87.1,72.9,-1.5985343209442366,1.096016169488615,0.49642916340782267,1.4134429418618948,0.35183848845352395,-1.5985343209442366,277,32,96,18,63,226,79.5,33.7,87.1,0.313,0.3,5.6,33.3
Gunnar Henderson,683002,132,65.0,90.4,29.23076923076923,81.6,66.7,0.41448785124349086,1.6872779794587094,-0.37399267614838166,-0.3365067895723242,0.3478165912453736,-0.37399267614838166,90,9,195,195,64,54,65.4,32.0,81.6,0.332,0.321,12.7,49.4
Spencer Steer,668715,99,48.0,90.0,29.166666666666668,81.3,67.4,0.27322313740575366,1.6783194671864354,-0.4214702310332651,-0.13893181989426653,0.3477851384161643,-0.4214702310332651,105,10,204,164,65,66,63.6,28.8,81.3,0.312,0.349,16.1,38.7
Alex Bregman,608324,131,75.0,90.4,18.666666666666668,86.8,69.0,0.41448785124349086,0.2109151569879283,0.44895160852293925,0.3126681107984334,0.34675568188819794,0.2109151569879283,90,121,101,117,66,5,56.0,18.0,86.8,0.312,0.328,8.1,45.5
Ronald Acuña Jr.,660670,132,67.0,89.0,17.91044776119403,80.5,74.65,-0.07993864718858434,0.10523145400277126,-0.5480770440596217,1.9073803660570372,0.3461490322029006,-0.5480770440596217,162,136,218,10,67,82,74.9,25.6,80.5,0.326,0.387,12.8,43.0
Vinnie Pasquantino,686469,120,67.0,88.6,25.37313432835821,87.2,67.65,-0.22120336102632154,1.148162733461554,0.5122550150361187,-0.06836933072353192,0.3427112641869548,-0.22120336102632154,177,31,93,153,68,35,66.5,31.2,87.2,0.262,0.291,7.5,35.0
Aaron Judge,592450,123,52.0,93.2,21.153846153846157,75.3,70.65,1.4033408481076362,0.5585054331521659,-1.3710213287309425,0.7783805393252834,0.34230137296353574,-1.3710213287309425,24,82,268,70,69,202,66.1,24.8,75.3,0.431,0.454,26.1,55.1
Maikel Garcia,672580,112,75.0,89.8,17.333333333333332,93.1,66.8,0.20259078048688503,0.02457810172462545,1.4459802611055002,-0.308281793904032,0.3412168373532447,-0.308281793904032,118,148,18,194,70,42,54.0,20.4,93.1,0.326,0.339,8.8,43.8
Taylor Ward,621493,132,75.0,89.6,13.333333333333334,89.4,71.1,0.13195842356801643,-0.5344330640652818,0.8604237508586008,0.9053930198326025,0.3408355325484845,-0.5344330640652818,128,210,61,56,71,80,53.2,11.0,89.4,0.397,0.38,5.5,38.5
