season,split,team,pa,ab,h,hr,bb,so,rbi,avg,obp,slg,ops
2025,risp,Toronto Blue Jays,1619,1371,400,42,159,287,559,0.292,0.361,0.449,0.81
2025,risp,Milwaukee Brewers,1701,1436,400,38,177,309,569,0.279,0.355,0.411,0.766
2025,risp,Los Angeles Dodgers,1526,1265,351,56,183,288,541,0.277,0.362,0.475,0.837
2025,risp,Miami Marlins,1599,1379,379,41,149,316,516,0.275,0.342,0.436,0.778
2025,risp,Washington Nationals,1525,1327,354,44,130,308,496,0.267,0.331,0.43,0.761
2025,risp,Chicago Cubs,1632,1377,367,55,177,330,549,0.267,0.344,0.446,0.79
2025,risp,Tampa Bay Rays,1511,1295,345,45,147,332,500,0.266,0.336,0.424,0.76
2025,risp,New York Mets,1581,1309,340,54,191,312,526,0.26,0.351,0.455,0.806
2025,risp,Cincinnati Reds,1561,1328,344,35,168,347,480,0.259,0.338,0.386,0.724
2025,risp,Detroit Tigers,1448,1235,319,48,145,327,509,0.258,0.332,0.446,0.778
2025,risp,Philadelphia Phillies,1595,1360,351,55,164,319,532,0.258,0.337,0.438,0.775
2025,risp,New York Yankees,1641,1347,344,54,219,363,538,0.255,0.354,0.431,0.785
2025,risp,Kansas City Royals,1501,1299,331,37,117,243,459,0.255,0.319,0.404,0.723
2025,risp,Cleveland Guardians,1402,1152,293,35,159,290,450,0.254,0.34,0.409,0.749
2025,risp,St. Louis Cardinals,1578,1368,346,35,136,356,481,0.253,0.321,0.384,0.705
2025,risp,Atlanta Braves,1577,1328,335,43,191,336,502,0.252,0.344,0.404,0.748
2025,risp,San Diego Padres,1598,1333,336,28,181,297,489,0.252,0.338,0.369,0.707
2025,risp,Boston Red Sox,1740,1484,374,52,180,394,552,0.252,0.334,0.414,0.748
2025,risp,San Francisco Giants,1485,1242,313,43,163,337,495,0.252,0.332,0.419,0.751
2025,risp,Athletics,1515,1307,327,53,147,330,481,0.25,0.324,0.438,0.762
2025,risp,Arizona Diamondbacks,1641,1379,344,53,153,348,543,0.249,0.321,0.423,0.744
2025,risp,Los Angeles Angels,1351,1134,282,42,143,346,408,0.249,0.337,0.413,0.75
2025,risp,Houston Astros,1496,1297,318,43,129,340,451,0.245,0.316,0.405,0.721
2025,risp,Texas Rangers,1476,1274,310,38,140,327,455,0.243,0.316,0.387,0.703
2025,risp,Minnesota Twins,1504,1301,309,29,140,355,417,0.238,0.315,0.357,0.672
2025,risp,Seattle Mariners,1590,1326,312,54,174,346,483,0.235,0.33,0.406,0.736
2025,risp,Baltimore Orioles,1428,1233,289,51,134,357,457,0.234,0.308,0.408,0.716
2025,risp,Chicago White Sox,1488,1259,294,32,160,319,442,0.234,0.319,0.354,0.673
2025,risp,Colorado Rockies,1329,1157,270,29,112,338,391,0.233,0.299,0.379,0.678
2025,risp,Pittsburgh Pirates,1494,1274,296,28,160,360,424,0.232,0.318,0.35,0.668
