season,split,team,pa,ab,h,hr,bb,so,rbi,avg,obp,slg,ops
2025,lc,Miami Marlins,665,589,168,17,59,115,91,0.285,0.353,0.443,0.796
2025,lc,Philadelphia Phillies,790,688,191,32,73,177,120,0.278,0.353,0.477,0.83
2025,lc,Toronto Blue Jays,672,582,154,19,60,138,85,0.265,0.34,0.402,0.742
2025,lc,Milwaukee Brewers,700,608,155,15,79,147,71,0.255,0.343,0.37,0.713
2025,lc,San Diego Padres,717,625,157,22,63,146,84,0.251,0.322,0.41,0.732
2025,lc,Tampa Bay Rays,680,595,149,15,67,186,76,0.25,0.328,0.368,0.696
2025,lc,Kansas City Royals,706,612,153,17,69,154,87,0.25,0.333,0.392,0.725
2025,lc,Seattle Mariners,875,744,181,29,92,209,106,0.243,0.332,0.405,0.737
2025,lc,Arizona Diamondbacks,659,553,133,19,71,140,86,0.241,0.333,0.392,0.725
2025,lc,Colorado Rockies,555,497,118,13,46,152,55,0.237,0.307,0.38,0.687
2025,lc,Cleveland Guardians,701,603,142,15,73,157,76,0.235,0.325,0.371,0.696
2025,lc,New York Mets,668,579,135,15,65,145,67,0.233,0.316,0.368,0.684
2025,lc,Washington Nationals,517,457,106,15,46,129,62,0.232,0.304,0.398,0.702
2025,lc,St. Louis Cardinals,662,582,134,15,58,154,69,0.23,0.312,0.364,0.676
2025,lc,Houston Astros,624,536,122,21,69,138,66,0.228,0.32,0.384,0.704
2025,lc,Cincinnati Reds,744,643,143,14,79,181,78,0.222,0.314,0.342,0.656
2025,lc,Los Angeles Angels,788,684,152,22,80,207,87,0.222,0.31,0.38,0.69
2025,lc,Boston Red Sox,767,668,148,14,79,192,77,0.222,0.313,0.317,0.63
2025,lc,Pittsburgh Pirates,816,692,153,7,101,200,59,0.221,0.327,0.29,0.617
2025,lc,Athletics,645,565,124,15,63,156,59,0.219,0.304,0.358,0.662
2025,lc,Atlanta Braves,753,662,145,14,72,171,74,0.219,0.302,0.329,0.631
2025,lc,Texas Rangers,795,711,154,16,67,193,71,0.217,0.29,0.339,0.629
2025,lc,Los Angeles Dodgers,658,560,121,20,76,140,82,0.216,0.314,0.377,0.691
2025,lc,Minnesota Twins,625,548,117,13,58,174,54,0.214,0.303,0.319,0.622
2025,lc,Detroit Tigers,578,511,109,20,62,145,62,0.213,0.301,0.38,0.681
2025,lc,Chicago Cubs,624,544,116,19,68,138,63,0.213,0.303,0.358,0.661
2025,lc,Baltimore Orioles,664,585,122,13,65,190,55,0.209,0.296,0.345,0.641
2025,lc,San Francisco Giants,688,602,123,6,60,159,62,0.204,0.281,0.281,0.562
2025,lc,New York Yankees,620,534,108,21,73,150,60,0.202,0.3,0.369,0.669
2025,lc,Chicago White Sox,611,542,107,7,53,155,49,0.197,0.276,0.286,0.562
2025,b1,Houston Astros,744,678,203,22,49,134,83,0.299,0.357,0.462,0.819
2025,b1,Toronto Blue Jays,761,699,203,30,51,121,100,0.29,0.344,0.482,0.826
2025,b1,Arizona Diamondbacks,761,657,185,36,86,145,96,0.282,0.374,0.548,0.922
2025,b1,Los Angeles Dodgers,755,637,178,53,110,179,99,0.279,0.386,0.6,0.986
2025,b1,Miami Marlins,751,682,190,7,59,116,56,0.279,0.338,0.368,0.706
2025,b1,Cleveland Guardians,731,662,184,13,55,73,64,0.278,0.334,0.387,0.721
2025,b1,Milwaukee Brewers,763,678,188,22,64,147,93,0.277,0.342,0.428,0.77
2025,b1,Philadelphia Phillies,764,704,195,19,48,145,86,0.277,0.33,0.425,0.755
2025,b1,San Diego Padres,748,645,177,28,93,135,81,0.274,0.371,0.454,0.825
2025,b1,Boston Red Sox,759,678,183,19,66,184,83,0.27,0.343,0.444,0.787
2025,b1,Cincinnati Reds,744,633,170,16,86,128,58,0.269,0.368,0.392,0.76
2025,b1,Washington Nationals,737,663,178,26,55,156,80,0.268,0.333,0.46,0.793
2025,b1,New York Mets,756,664,178,30,66,141,81,0.268,0.347,0.455,0.802
2025,b1,Tampa Bay Rays,737,683,181,17,45,112,65,0.265,0.311,0.391,0.702
2025,b1,Athletics,756,667,175,29,81,190,81,0.262,0.343,0.448,0.791
2025,b1,Atlanta Braves,747,647,167,23,91,136,77,0.258,0.354,0.419,0.773
2025,b1,Minnesota Twins,742,651,163,33,73,188,79,0.25,0.332,0.476,0.808
2025,b1,Colorado Rockies,730,672,167,13,47,156,63,0.249,0.305,0.378,0.683
2025,b1,Detroit Tigers,744,664,165,26,66,166,76,0.248,0.317,0.428,0.745
2025,b1,Kansas City Royals,734,640,158,11,72,107,61,0.247,0.331,0.38,0.711
2025,b1,Chicago Cubs,752,668,162,33,72,172,96,0.243,0.319,0.446,0.765
2025,b1,Chicago White Sox,733,650,156,8,77,143,48,0.24,0.325,0.315,0.64
2025,b1,Seattle Mariners,759,675,160,15,62,165,66,0.237,0.311,0.348,0.659
2025,b1,Los Angeles Angels,730,667,158,30,46,190,72,0.237,0.296,0.433,0.729
2025,b1,San Francisco Giants,741,665,156,20,65,160,58,0.235,0.304,0.379,0.683
2025,b1,St. Louis Cardinals,746,659,154,15,75,138,59,0.234,0.315,0.354,0.669
2025,b1,New York Yankees,763,664,154,37,89,167,77,0.232,0.33,0.432,0.762
2025,b1,Pittsburgh Pirates,731,645,145,23,77,193,77,0.225,0.312,0.391,0.703
2025,b1,Texas Rangers,740,652,146,14,68,127,49,0.224,0.305,0.34,0.645
2025,b1,Baltimore Orioles,742,671,149,20,65,181,52,0.222,0.296,0.353,0.649
2025,b2,New York Yankees,744,639,193,36,94,170,93,0.302,0.39,0.538,0.928
2025,b2,Kansas City Royals,718,648,192,23,54,129,89,0.296,0.354,0.497,0.851
2025,b2,Tampa Bay Rays,720,639,180,31,67,142,89,0.282,0.354,0.473,0.827
2025,b2,Toronto Blue Jays,739,649,182,25,77,123,93,0.28,0.359,0.458,0.817
2025,b2,New York Mets,738,626,174,38,99,142,98,0.278,0.38,0.51,0.89
2025,b2,Atlanta Braves,733,655,182,24,72,181,77,0.278,0.352,0.44,0.792
2025,b2,Chicago Cubs,734,626,173,26,98,119,92,0.276,0.375,0.468,0.843
2025,b2,Athletics,732,672,185,30,49,141,91,0.275,0.332,0.475,0.807
2025,b2,Arizona Diamondbacks,744,641,173,36,81,121,103,0.27,0.358,0.495,0.853
2025,b2,San Diego Padres,729,673,179,8,34,55,60,0.266,0.301,0.361,0.662
2025,b2,Detroit Tigers,728,627,163,21,86,139,93,0.26,0.352,0.41,0.762
2025,b2,Milwaukee Brewers,745,672,174,22,60,145,83,0.259,0.322,0.438,0.76
2025,b2,Colorado Rockies,705,649,168,20,38,160,72,0.259,0.305,0.422,0.727
2025,b2,Los Angeles Dodgers,743,665,172,26,66,106,96,0.259,0.324,0.418,0.742
2025,b2,Boston Red Sox,740,639,165,22,86,149,95,0.258,0.353,0.424,0.777
2025,b2,St. Louis Cardinals,728,647,165,20,58,135,74,0.255,0.33,0.402,0.732
2025,b2,Los Angeles Angels,719,628,160,22,69,139,65,0.255,0.34,0.401,0.741
2025,b2,Miami Marlins,734,666,169,20,59,158,78,0.254,0.315,0.41,0.725
2025,b2,Philadelphia Phillies,735,634,160,46,89,177,116,0.252,0.351,0.509,0.86
2025,b2,Baltimore Orioles,720,654,165,25,52,153,69,0.252,0.317,0.414,0.731
2025,b2,Texas Rangers,726,627,158,28,87,169,77,0.252,0.347,0.435,0.782
2025,b2,Houston Astros,727,640,160,22,73,136,71,0.25,0.333,0.4,0.733
2025,b2,San Francisco Giants,727,626,153,32,88,192,87,0.244,0.341,0.441,0.782
2025,b2,Minnesota Twins,729,664,161,20,53,164,75,0.242,0.305,0.39,0.695
2025,b2,Washington Nationals,716,628,150,27,78,202,85,0.239,0.327,0.42,0.747
2025,b2,Seattle Mariners,742,655,156,41,70,178,99,0.238,0.321,0.473,0.794
2025,b2,Chicago White Sox,716,622,144,30,78,155,77,0.232,0.324,0.431,0.755
2025,b2,Pittsburgh Pirates,718,642,148,19,63,170,67,0.231,0.3,0.364,0.664
2025,b2,Cincinnati Reds,725,642,135,16,69,177,64,0.21,0.291,0.316,0.607
2025,b2,Cleveland Guardians,715,650,128,19,50,185,54,0.197,0.26,0.334,0.594
