player_id,player,b_total_pa,exit_velocity_avg,iz_contact_percent,z_swing_percent,oz_swing_percent,barrel_batted_rate,hard_hit_percent,woba,xwoba,xslg,age,primary_position,bats,mlb_debut,yrs_since_debut,est_yrs_to_fa,team_abbr,pull_air_pct,composite_z,min_z,rank_composite_z,swg_dec,contract_through,contract_note,fa_year
676391,Ernie Clement,113,86.7,93.7,71.8,45.0,0.0,27.1,0.325,0.272,0.35,30.1,2B,R,2021-06-13,4.88,1.1,TOR,22.352941176470587,0.0267188205670979,-1.2679316466260222,145.0,63.4,2027,service-time proxy,2028
669394,Jake Burger,117,88.6,82.9,64.1,39.8,10.1,46.8,0.29,0.283,0.395,30.05,1B,R,2021-07-02,4.82,1.2,TEX,23.33333333333333,-0.2867773020192701,-1.6207440924796954,223.0,62.15,2027,service-time proxy,2028
665862,Jazz Chisholm Jr.,109,88.6,77.3,60.6,27.4,5.9,39.7,0.299,0.268,0.301,28.24,2B,L,2020-09-01,5.66,0.3,NYY,20.454545454545453,-0.294915808517068,-1.05450429616505,224.0,66.6,2027,Jazz Chisholm Jr: FA after 2027,2028
657757,Gavin Sheets,87,88.7,88.0,57.5,36.9,10.9,45.3,0.329,0.323,0.466,30.02,1B,L,2021-06-29,4.83,1.2,SD,14.0,-0.532799100820293,-2.142906512343132,257.0,60.3,2027,service-time proxy,2028
