player_id,player,season,pos,g,pa,ab,h,hr,rbi,bb,so,avg,obp,slg,ops,iso,k_pct,bb_pct,xba,xslg,xwoba,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,whiff_percent,swing_percent,meatball_swing_percent,in_zone_swing_miss_percent,out_zone_swing_miss_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
596019,Francisco Lindor,2026,SS,22,99,88,18,1,1,10,18,0.205,0.293,0.307,0.6,0.102,0.1818181818181818,0.101010101010101,0.245,0.396,0.323,0.279,90.3,14.7,30.0,8.6,40.0,66.8,27.8,24.9,45.2,85.2,,,40.0,34.3,25.7,40.0,24.3,28.6,7.1
666182,Bo Bichette,2026,SS,22,98,92,20,1,9,5,23,0.217,0.255,0.283,0.538,0.0659999999999999,0.2346938775510204,0.0510204081632653,0.291,0.389,0.313,0.245,91.2,5.5,37.1,2.9,42.9,70.4,43.1,24.8,55.5,90.0,,,18.6,35.7,45.7,54.3,14.3,30.0,1.4
543760,Marcus Semien,2026,2B,22,86,77,18,1,8,6,17,0.234,0.294,0.312,0.606,0.0779999999999999,0.1976744186046511,0.0697674418604651,0.238,0.382,0.303,0.279,86.4,21.0,35.5,6.5,35.5,74.2,28.0,24.7,51.2,82.6,,,43.5,43.5,12.9,27.4,38.7,27.4,6.5
673357,Luis Robert Jr.,2026,CF,20,82,70,18,2,7,12,16,0.257,0.366,0.371,0.737,0.1139999999999999,0.1951219512195122,0.1463414634146341,0.267,0.406,0.35,0.342,90.0,7.2,20.4,3.7,44.4,63.2,29.8,25.0,44.7,84.2,,,35.2,46.3,18.5,57.4,18.5,18.5,5.6
701807,Carson Benge,2026,OF,19,70,63,9,1,3,7,18,0.143,0.229,0.206,0.435,0.063,0.2571428571428571,0.1,0.198,0.305,0.265,0.21,89.4,6.7,35.6,4.4,37.8,68.9,27.0,24.6,48.0,75.9,,,24.4,33.3,42.2,53.3,17.8,24.4,4.4
683146,Brett Baty,2026,3B,19,68,65,13,0,7,1,21,0.2,0.206,0.277,0.483,0.077,0.3088235294117647,0.0147058823529411,0.214,0.331,0.236,0.212,90.4,6.2,28.3,8.7,37.0,65.2,36.3,27.3,50.9,80.0,,,39.1,30.4,30.4,52.2,23.9,21.7,2.2
682626,Francisco Alvarez,2026,C,20,68,56,15,4,5,8,12,0.268,0.379,0.5,0.879,0.2319999999999999,0.1764705882352941,0.1176470588235294,0.27,0.597,0.419,0.393,88.1,7.2,27.3,18.2,43.2,62.1,28.8,26.3,43.5,76.5,,,43.2,47.7,9.1,50.0,27.3,15.9,6.8
668901,Mark Vientos,2026,3B,17,57,54,12,2,6,2,12,0.222,0.246,0.37,0.616,0.148,0.2105263157894736,0.0350877192982456,0.242,0.393,0.28,0.271,89.6,11.7,30.2,4.7,44.2,73.2,32.8,34.9,51.2,63.6,,,39.5,44.2,16.3,51.2,30.2,11.6,7.0
665742,Juan Soto,2026,RF,8,34,31,11,1,5,3,6,0.355,0.412,0.516,0.928,0.161,0.1764705882352941,0.088235294117647,0.261,0.43,0.321,0.405,87.3,3.9,32.0,8.0,28.0,70.5,31.8,23.4,50.4,66.7,,,36.0,56.0,8.0,48.0,16.0,32.0,4.0
621438,Tyrone Taylor,2026,CF,14,30,28,6,1,6,1,4,0.214,0.241,0.357,0.598,0.143,0.1333333333333333,0.0333333333333333,0.246,0.398,0.291,0.267,86.3,21.1,36.0,8.0,20.0,71.4,39.6,23.4,57.7,66.7,,,36.0,40.0,24.0,32.0,44.0,20.0,4.0
620443,Luis Torrens,2026,C,8,23,23,6,0,4,0,3,0.261,0.261,0.348,0.609,0.0869999999999999,0.1304347826086956,0.0,0.298,0.407,0.304,0.27,90.9,10.4,40.0,0.0,60.0,68.3,36.2,24.4,51.1,100.0,,,40.0,35.0,25.0,45.0,15.0,35.0,5.0
676724,Jared Young,2026,LF,11,23,20,7,0,2,2,3,0.35,0.391,0.45,0.841,0.1,0.1304347826086956,0.0869565217391304,0.282,0.39,0.365,0.371,88.7,-2.6,22.2,16.7,50.0,75.0,27.7,23.3,49.4,87.5,,,50.0,38.9,11.1,72.2,11.1,16.7,0.0
669004,MJ Melendez,2026,LF,4,16,14,5,1,2,2,8,0.357,0.438,0.714,1.152,0.357,0.5,0.125,0.222,0.445,0.334,0.495,102.9,22.1,83.3,33.3,83.3,66.7,24.4,43.3,42.3,33.3,,,66.7,16.7,16.7,0.0,33.3,66.7,0.0
502054,Tommy Pham,2026,LF,5,8,8,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.154,0.173,0.142,0.0,94.0,-5.1,25.0,0.0,50.0,64.7,50.0,35.3,58.6,100.0,,,50.0,25.0,25.0,75.0,0.0,25.0,0.0
677595,Ronny Mauricio,2026,3B,2,4,4,1,0,1,0,2,0.25,0.25,0.25,0.5,0.0,0.5,0.0,0.2,0.301,0.211,0.227,90.1,-14.7,50.0,0.0,50.0,80.0,80.0,50.0,80.0,100.0,,,50.0,50.0,0.0,50.0,0.0,50.0,0.0
