player_id,player,b_total_pa,exit_velocity_avg,iz_contact_percent,z_swing_percent,oz_swing_percent,barrel_batted_rate,hard_hit_percent,woba,xwoba,xslg,age,primary_position,bats,mlb_debut,team,team_id,team_abbr,pull_air_pct,bb_count,composite_z,min_z,rank_composite_z,z_ev,z_pullair,z_izcon,z_swgdec,swg_dec,pos_match,age_ok,pa_ok,team_ok,contract_through,contract_type,contract_note,yrs_since_debut,est_yrs_to_fa,years_left
669477,Casey Schmitt,89,91.4,86.7,67.7,32.7,15.9,50.8,0.386,0.369,0.54,27.16,1B,R,2023-05-09,San Francisco Giants,137.0,SF,28.88888888888889,45.0,0.6823919539616036,-0.1107068242259742,18.0,0.7676496358378289,1.639499247339914,0.4331257568946455,-0.1107068242259742,67.5,True,True,True,True,,,,2.97,3.0,3
678246,Miguel Vargas,121,89.0,81.8,68.8,16.5,13.4,43.9,0.356,0.374,0.475,26.45,3B,R,2022-08-03,Chicago White Sox,145.0,CWS,19.672131147540984,61.0,0.5649768264731178,-0.3423409728917919,27.0,-0.0799386471885843,0.3514316248914022,-0.3423409728917919,2.330755301081445,76.15,True,True,True,True,,,,3.74,2.3,2
670623,Isaac Paredes,98,88.2,87.8,63.0,29.0,2.9,27.5,0.323,0.287,0.314,27.19,3B,R,2020-08-17,Houston Astros,117.0,HOU,32.69230769230769,52.0,0.5409869723839755,-0.3624680748640537,29.0,-0.3624680748640537,2.1710376421615143,0.6072101248058855,-0.2518318025674435,67.0,True,True,True,True,,,,5.7,0.3,0
686469,Vinnie Pasquantino,120,88.6,87.2,66.5,31.2,7.5,35.0,0.262,0.291,0.34,28.55,1B,L,2022-06-28,Kansas City Royals,118.0,KC,25.37313432835821,67.0,0.3427112641869548,-0.2212033610263215,68.0,-0.2212033610263215,1.148162733461554,0.5122550150361187,-0.0683693307235319,67.65,True,True,True,True,,,,3.84,2.2,2
672580,Maikel Garcia,112,89.8,93.1,54.0,20.4,8.8,43.8,0.326,0.339,0.389,26.15,3B,R,2022-07-15,Kansas City Royals,118.0,KC,17.333333333333332,75.0,0.3412168373532447,-0.308281793904032,70.0,0.202590780486885,0.0245781017246254,1.4459802611055002,-0.308281793904032,66.8,True,True,True,True,,,,3.79,2.2,2
665489,Vladimir Guerrero Jr.,115,93.0,82.6,69.3,29.7,13.6,48.9,0.381,0.389,0.499,27.12,1B,R,2019-04-26,Toronto Blue Jays,141.0,TOR,10.0,70.0,0.1637916763111443,-1.0002757022235382,107.0,1.3327084911887677,-1.0002757022235382,-0.2157341598654354,0.5384680761447833,69.8,True,True,True,True,,,,7.01,0.0,0
666397,Edouard Julien,84,90.3,81.9,60.0,20.9,9.4,43.4,0.346,0.359,0.453,27.0,2B,L,2023-04-12,Colorado Rockies,115.0,COL,17.94871794871795,39.0,0.1577854895082661,-0.3265151212634959,109.0,0.379171672784054,0.1105798195384575,-0.3265151212634959,0.4679055869740487,69.55,True,True,True,True,,,,3.05,3.0,3
672724,Oswald Peraza,84,88.7,82.4,74.8,36.2,10.3,37.9,0.369,0.339,0.427,25.87,2B,R,2022-09-02,Los Angeles Angels,108.0,LAA,19.148936170212767,47.0,0.0605959296132227,-0.2473858631220228,133.0,-0.1858871825668847,0.2783136663384845,-0.2473858631220228,0.3973430978033141,69.3,True,True,True,True,,,,3.66,2.3,2
678554,Curtis Mead,64,88.4,93.3,58.1,27.9,8.7,43.5,0.291,0.331,0.424,25.51,1B,R,2023-08-04,Washington Nationals,120.0,WSH,15.384615384615383,39.0,0.0374822136998418,-0.7881067202650281,140.0,-0.2918357179451851,-0.247760671352509,1.47763196436209,-0.7881067202650281,65.1,True,True,True,True,,,,2.74,3.3,3
676391,Ernie Clement,113,86.7,93.7,71.8,45.0,0.0,27.1,0.325,0.272,0.35,30.1,2B,R,2021-06-13,Toronto Blue Jays,141.0,TOR,22.352941176470587,85.0,0.0267188205670979,-1.2679316466260222,145.0,-0.8922107517555607,0.7260823097747054,1.540935370875269,-1.2679316466260222,63.4,True,True,True,True,,,,4.88,1.1,1
660162,Yoán Moncada,92,90.2,81.0,53.0,19.0,8.7,41.3,0.321,0.294,0.31,30.92,3B,S,2016-09-02,Los Angeles Angels,108.0,LAA,20.512820512820515,39.0,0.0229990540671135,-0.4689477859181485,148.0,0.3438554943246222,0.4689203104294241,-0.4689477859181485,-0.2518318025674435,67.0,True,True,True,True,2026.0,ARB,Oswald Peraza; FA depending on options,9.65,0.0,0
650333,Luis Arraez,115,86.2,93.6,66.5,29.8,0.0,17.1,0.32,0.315,0.374,29.05,2B,L,2019-05-18,San Francisco Giants,137.0,SF,11.538461538461538,78.0,-0.0499369733850482,-1.0687916440527296,168.0,-1.0687916440527296,-0.7852714076889583,1.5251095192469732,0.1292056389545217,68.35,True,True,True,True,,,,6.95,0.0,0
671277,Luis García Jr.,96,91.7,91.7,66.1,40.8,6.4,43.6,0.285,0.324,0.44,25.95,1B,L,2020-08-14,Washington Nationals,120.0,WSH,10.0,60.0,-0.0954695767090645,-1.479619114138226,177.0,0.8735981712161293,-1.0002757022235382,1.2244183383093767,-1.479619114138226,62.65,True,True,True,True,2027.0,ARB,Edouard Julien; arb-eligible,5.71,0.3,1
694384,Nolan Schanuel,116,86.4,89.0,61.9,22.9,2.2,29.7,0.296,0.296,0.335,24.2,1B,L,2023-08-18,Los Angeles Angels,108.0,LAA,12.5,72.0,-0.0995348943133457,-0.9981592871338612,180.0,-0.9981592871338612,-0.650893723604846,0.7971203443454214,0.4537930891399026,69.5,True,True,True,True,,,,2.7,3.3,3
663697,Jonathan India,58,85.7,80.6,60.0,17.9,5.7,31.4,0.294,0.286,0.289,29.37,2B,R,2021-04-01,Kansas City Royals,118.0,KC,20.0,35.0,-0.1222727486328849,-1.2453725363498986,185.0,-1.2453725363498986,0.3972522122512306,-0.5322511924313279,0.8912805219984563,71.05,True,True,True,True,2026.0,ARB,"Jonathan India; arb-eligible, walk year 2026 -- classic short-window rental",5.08,0.9,0
672820,Lenyn Sosa,60,89.6,86.8,66.7,48.5,4.0,36.0,0.219,0.244,0.342,26.26,2B,R,2022-06-23,Chicago White Sox,145.0,CWS,25.0,40.0,-0.2011700646957714,-2.4816064603626566,207.0,0.1319584235680164,1.096016169488615,0.4489516085229392,-2.4816064603626566,59.1,True,True,True,True,,,,3.85,2.2,2
677588,José Tena,50,89.8,73.5,68.0,34.2,3.1,40.6,0.309,0.272,0.343,25.11,2B,L,2023-08-05,Washington Nationals,120.0,WSH,17.857142857142858,28.0,-0.4088926827313289,-1.6558866580402454,237.0,0.202590780486885,0.0977819448637802,-1.6558866580402454,-0.2800567982357357,66.9,True,True,True,True,,,,2.73,3.3,3
681082,Bryson Stott,82,90.2,92.3,49.4,33.3,4.7,46.9,0.248,0.305,0.382,28.56,2B,L,2022-04-08,Philadelphia Phillies,143.0,PHI,11.538461538461538,52.0,-0.475002845041234,-2.7779689148797435,250.0,0.3438554943246222,-0.7852714076889583,1.3193734480791437,-2.7779689148797435,58.05,True,True,True,True,,,,4.06,1.9,2
650489,Willi Castro,76,88.0,76.9,72.5,35.9,7.1,40.5,0.303,0.285,0.355,29.01,2B,S,2019-08-24,Colorado Rockies,115.0,COL,13.157894736842104,38.0,-0.498691522748333,-1.1178077026782272,252.0,-0.4331004317829223,-0.5589510976525587,-1.1178077026782272,0.1150931411203756,68.3,True,True,True,True,,,,6.68,0.0,0
664761,Alec Bohm,110,88.6,86.1,60.8,24.9,1.2,38.3,0.197,0.271,0.297,29.74,3B,R,2020-08-13,Philadelphia Phillies,143.0,PHI,1.6129032258064515,62.0,-0.509780736544329,-2.172395888557215,254.0,-0.2212033610263215,-2.172395888557215,0.3381706471248764,0.0163056562813448,67.94999999999999,True,True,True,True,,,,5.71,0.3,0
