team,team_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Astros,HOU,2026,904,606,0.255,0.257,-0.002,0.429,0.426,0.003,0.347,0.341,0.0059999999999999
Angels,LAA,2026,897,545,0.224,0.218,0.006,0.397,0.393,0.004,0.332,0.323,0.009
Pirates,PIT,2026,883,574,0.253,0.245,0.008,0.402,0.405,-0.003,0.335,0.328,0.007
Nationals,WSH,2026,874,608,0.258,0.26,-0.002,0.409,0.421,-0.012,0.333,0.332,0.001
Mariners,SEA,2026,868,537,0.216,0.238,-0.0219999999999999,0.347,0.405,-0.058,0.308,0.331,-0.023
Braves,ATL,2026,848,599,0.276,0.261,0.015,0.45,0.46,-0.01,0.354,0.345,0.009
Twins,MIN,2026,845,538,0.23,0.234,-0.004,0.381,0.399,-0.018,0.325,0.33,-0.005
Guardians,CLE,2026,843,569,0.226,0.25,-0.0239999999999999,0.382,0.414,-0.0319999999999999,0.315,0.331,-0.016
Rangers,TEX,2026,838,543,0.24,0.24,0.0,0.393,0.393,0.0,0.318,0.313,0.005
Athletics,ATH,2026,835,537,0.228,0.244,-0.0159999999999999,0.362,0.393,-0.031,0.305,0.318,-0.013
Rays,TB,2026,835,597,0.259,0.248,0.011,0.383,0.367,0.016,0.323,0.307,0.016
Yankees,NYY,2026,830,513,0.218,0.237,-0.0189999999999999,0.41,0.454,-0.044,0.33,0.347,-0.0169999999999999
Marlins,MIA,2026,828,566,0.255,0.241,0.014,0.391,0.371,0.02,0.325,0.308,0.017
Orioles,BAL,2026,828,521,0.23,0.234,-0.004,0.373,0.377,-0.004,0.314,0.314,0.0
White Sox,CWS,2026,827,519,0.21,0.228,-0.018,0.356,0.379,-0.023,0.3,0.311,-0.011
Mets,NYM,2026,827,579,0.226,0.247,-0.0209999999999999,0.336,0.39,-0.0539999999999999,0.284,0.309,-0.025
Cubs,CHC,2026,826,547,0.251,0.243,0.008,0.398,0.394,0.004,0.335,0.323,0.012
Reds,CIN,2026,823,519,0.202,0.231,-0.0289999999999999,0.326,0.393,-0.067,0.288,0.32,-0.032
Cardinals,STL,2026,823,543,0.233,0.238,-0.0049999999999999,0.379,0.408,-0.0289999999999999,0.32,0.329,-0.009
Tigers,DET,2026,821,550,0.243,0.258,-0.015,0.38,0.441,-0.061,0.32,0.341,-0.021
Brewers,MIL,2026,819,526,0.232,0.227,0.005,0.366,0.375,-0.009,0.322,0.318,0.004
Rockies,COL,2026,818,527,0.241,0.242,-0.001,0.386,0.395,-0.009,0.315,0.312,0.003
Padres,SD,2026,817,562,0.232,0.259,-0.0269999999999999,0.369,0.427,-0.0579999999999999,0.307,0.337,-0.03
Dodgers,LAD,2026,816,546,0.289,0.28,0.0089999999999999,0.494,0.498,-0.004,0.378,0.372,0.006
Giants,SF,2026,809,592,0.251,0.253,-0.002,0.365,0.38,-0.015,0.295,0.298,-0.003
Blue Jays,TOR,2026,798,584,0.252,0.258,-0.006,0.383,0.381,0.002,0.313,0.31,0.003
D-backs,AZ,2026,795,565,0.244,0.25,-0.006,0.399,0.394,0.005,0.31,0.307,0.003
Royals,KC,2026,793,524,0.218,0.229,-0.011,0.339,0.363,-0.0239999999999999,0.289,0.301,-0.012
Phillies,PHI,2026,788,527,0.222,0.24,-0.0179999999999999,0.367,0.393,-0.026,0.305,0.317,-0.012
Red Sox,BOS,2026,787,511,0.228,0.233,-0.005,0.341,0.359,-0.0179999999999999,0.299,0.304,-0.005
