season,player_id,player,pos,g,pa,ab,r,h,2b,3b,hr,rbi,bb,so,hbp,sb,cs,sf,gidp,avg,obp,slg,ops,babip,lob,iso,k_pct,bb_pct,xbh
2026,596019,Francisco Lindor,SS,22,99,88,12,18,2,2,1,1,10,18,1,2,1,0,2,0.205,0.293,0.307,0.6,0.246,29,0.10200000000000001,0.18181818181818182,0.10101010101010101,5
2026,666182,Bo Bichette,SS,22,98,92,8,20,3,0,1,9,5,23,0,0,0,1,3,0.217,0.255,0.283,0.538,0.275,40,0.06599999999999998,0.23469387755102042,0.05102040816326531,4
2026,543760,Marcus Semien,2B,22,86,77,3,18,3,0,1,8,6,17,1,1,0,1,1,0.234,0.294,0.312,0.606,0.283,36,0.07799999999999999,0.19767441860465115,0.06976744186046512,4
2026,673357,Luis Robert Jr.,CF,20,82,70,9,18,2,0,2,7,12,16,0,2,2,0,2,0.257,0.366,0.371,0.737,0.308,26,0.11399999999999999,0.1951219512195122,0.14634146341463414,4
2026,701807,Carson Benge,OF,19,70,63,5,9,1,0,1,3,7,18,0,5,0,0,1,0.143,0.229,0.206,0.435,0.182,36,0.063,0.2571428571428571,0.1,2
2026,683146,Brett Baty,3B,19,68,65,6,13,3,1,0,7,1,21,0,2,0,2,2,0.2,0.206,0.277,0.483,0.283,30,0.07700000000000001,0.3088235294117647,0.014705882352941176,4
2026,682626,Francisco Alvarez,C,20,68,56,8,15,1,0,4,5,8,12,2,0,0,0,3,0.268,0.379,0.5,0.879,0.275,19,0.23199999999999998,0.17647058823529413,0.11764705882352941,5
2026,668901,Mark Vientos,3B,17,57,54,6,12,2,0,2,6,2,12,0,0,0,1,2,0.222,0.246,0.37,0.616,0.244,31,0.148,0.21052631578947367,0.03508771929824561,4
2026,665742,Juan Soto,RF,8,34,31,3,11,2,0,1,5,3,6,0,0,0,0,0,0.355,0.412,0.516,0.928,0.417,14,0.16100000000000003,0.17647058823529413,0.08823529411764706,3
2026,621438,Tyrone Taylor,CF,14,30,28,3,6,1,0,1,6,1,4,0,0,0,0,0,0.214,0.241,0.357,0.598,0.217,10,0.143,0.13333333333333333,0.03333333333333333,2
2026,620443,Luis Torrens,C,8,23,23,2,6,2,0,0,4,0,3,0,0,0,0,0,0.261,0.261,0.348,0.609,0.3,13,0.08699999999999997,0.13043478260869565,0.0,2
2026,676724,Jared Young,LF,11,23,20,2,7,2,0,0,2,2,3,0,0,0,1,0,0.35,0.391,0.45,0.841,0.389,9,0.10000000000000003,0.13043478260869565,0.08695652173913043,2
2026,669004,MJ Melendez,LF,4,16,14,2,5,2,0,1,2,2,8,0,0,1,0,0,0.357,0.438,0.714,1.152,0.8,10,0.357,0.5,0.125,3
2026,502054,Tommy Pham,LF,5,8,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.5,0.0,0
2026,677595,Ronny Mauricio,3B,2,4,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0,0.0,0.5,0.0,0
