season,team,g,pa,ab,r,h,2b,3b,hr,rbi,bb,so,sb,avg,obp,slg,ops,babip,lob,gidp,r_per_g,k_pct,bb_pct,iso,xbh_per_h,r_rank,rpg_rank,ops_rank,wrc_proxy
2026,Seattle Mariners,24,906,784,94,171,33,3,23,91,101,223,14,0.218,0.319,0.356,0.675,0.273,181,11,3.9166666666666665,0.24613686534216336,0.11147902869757174,0.13799999999999998,0.34502923976608185,20,24,23,0.675
2026,San Diego Padres,22,817,723,96,168,44,2,17,91,78,171,21,0.232,0.31,0.369,0.679,0.279,144,15,4.363636363636363,0.20930232558139536,0.09547123623011015,0.13699999999999998,0.375,19,15,22,0.679
2026,Cleveland Guardians,24,884,777,97,176,43,0,25,92,92,186,18,0.227,0.314,0.378,0.692,0.265,155,16,4.041666666666667,0.21040723981900453,0.10407239819004525,0.151,0.38636363636363635,17,21,18,0.692
2026,Athletics,23,875,773,97,181,34,3,23,95,87,213,17,0.234,0.314,0.375,0.689,0.292,160,20,4.217391304347826,0.24342857142857144,0.09942857142857142,0.141,0.3314917127071823,17,18,19,0.689
2026,Baltimore Orioles,23,875,761,98,172,39,1,22,97,96,224,14,0.226,0.317,0.367,0.684,0.288,166,13,4.260869565217392,0.256,0.10971428571428571,0.141,0.36046511627906974,16,17,21,0.684
2026,Arizona Diamondbacks,22,795,726,99,176,47,5,18,94,51,174,13,0.242,0.294,0.395,0.689,0.293,117,16,4.5,0.2188679245283019,0.06415094339622641,0.15300000000000002,0.3977272727272727,15,14,19,0.689
2026,Detroit Tigers,23,862,759,100,186,46,3,17,96,84,187,8,0.245,0.326,0.381,0.707,0.301,161,14,4.3478260869565215,0.21693735498839908,0.09744779582366589,0.136,0.3548387096774194,14,16,12,0.707
2026,Tampa Bay Rays,22,872,770,104,197,31,4,18,98,75,160,24,0.256,0.329,0.377,0.706,0.3,171,15,4.7272727272727275,0.1834862385321101,0.0860091743119266,0.121,0.26903553299492383,13,12,13,0.706
2026,Miami Marlins,23,862,760,105,193,40,8,16,100,78,181,26,0.254,0.33,0.391,0.721,0.309,157,11,4.565217391304348,0.2099767981438515,0.09048723897911833,0.137,0.3316062176165803,12,13,8,0.721
2026,Milwaukee Brewers,21,819,694,106,161,32,2,19,101,109,178,33,0.232,0.339,0.366,0.705,0.285,163,10,5.0476190476190474,0.21733821733821734,0.1330891330891331,0.13399999999999998,0.32919254658385094,10,8,14,0.705
2026,St. Louis Cardinals,22,859,731,106,168,28,1,25,103,91,187,18,0.23,0.325,0.373,0.698,0.269,166,16,4.818181818181818,0.21769499417927823,0.10593713620488941,0.143,0.32142857142857145,10,11,16,0.698
2026,New York Yankees,22,830,710,110,155,32,4,32,103,109,203,27,0.218,0.323,0.41,0.733,0.256,147,11,5.0,0.24457831325301205,0.13132530120481928,0.19199999999999998,0.43870967741935485,9,9,6,0.733
2026,Minnesota Twins,22,845,721,112,166,27,2,26,107,98,193,14,0.23,0.332,0.381,0.713,0.275,156,12,5.090909090909091,0.22840236686390533,0.11597633136094675,0.151,0.3313253012048193,8,7,10,0.713
2026,Pittsburgh Pirates,22,883,767,113,194,32,2,26,110,94,202,22,0.253,0.342,0.402,0.744,0.308,179,21,5.136363636363637,0.2287655719139298,0.10645526613816535,0.14900000000000002,0.30927835051546393,7,6,4,0.744
2026,Chicago Cubs,22,862,744,117,187,33,1,25,104,100,187,15,0.251,0.342,0.399,0.741,0.299,166,17,5.318181818181818,0.21693735498839908,0.11600928074245939,0.14800000000000002,0.3155080213903743,5,5,5,0.741
2026,Los Angeles Angels,24,933,790,117,176,28,1,34,113,112,241,13,0.223,0.331,0.39,0.721,0.273,172,19,4.875,0.2583065380493033,0.12004287245444802,0.167,0.35795454545454547,5,10,8,0.721
2026,Washington Nationals,23,908,807,125,203,41,2,25,114,76,186,22,0.252,0.327,0.4,0.727,0.297,156,14,5.434782608695652,0.20484581497797358,0.08370044052863436,0.14800000000000002,0.33497536945812806,4,3,7,0.727
2026,Houston Astros,24,947,818,130,213,55,1,30,122,107,186,12,0.26,0.35,0.44,0.79,0.3,186,20,5.416666666666667,0.19640971488912354,0.11298838437170011,0.18,0.40375586854460094,3,4,2,0.79
2026,Atlanta Braves,23,888,796,131,218,43,2,30,128,77,174,10,0.274,0.342,0.446,0.788,0.314,157,12,5.695652173913044,0.19594594594594594,0.08671171171171171,0.172,0.3440366972477064,2,2,3,0.788
2026,Los Angeles Dodgers,22,863,757,133,222,34,1,42,128,84,188,12,0.293,0.366,0.507,0.873,0.336,161,19,6.045454545454546,0.21784472769409038,0.09733487833140209,0.21400000000000002,0.34684684684684686,1,1,1,0.873
