season,team,g,pa,ab,r,h,2b,3b,hr,rbi,bb,so,sb,avg,obp,slg,ops,babip,lob,gidp,r_per_g,k_pct,bb_pct,iso,xbh_per_h,r_rank,rpg_rank,ops_rank,wrc_proxy
2026,New York Mets,22,827,749,72,169,29,3,16,68,64,178,12,0.226,0.288,0.336,0.624,0.273,155,16,3.272727272727273,0.21523579201934703,0.0773881499395405,0.11000000000000001,0.28402366863905326,30,30,30,0.624
2026,San Francisco Giants,22,809,756,75,190,39,4,13,71,43,170,5,0.251,0.293,0.365,0.658,0.306,143,21,3.409090909090909,0.21013597033374537,0.05315203955500618,0.11399999999999999,0.29473684210526313,29,28,27,0.658
2026,Kansas City Royals,23,847,749,76,167,31,2,18,72,78,201,16,0.223,0.302,0.342,0.644,0.278,159,14,3.3043478260869565,0.23730814639905548,0.09208972845336481,0.11900000000000002,0.30538922155688625,27,29,28,0.644
2026,Philadelphia Phillies,22,826,736,76,162,33,2,22,75,72,184,12,0.22,0.301,0.36,0.661,0.263,167,9,3.4545454545454546,0.22276029055690072,0.08716707021791767,0.13999999999999999,0.35185185185185186,27,27,25,0.661
2026,Chicago White Sox,22,827,719,82,151,27,3,24,74,85,208,18,0.21,0.304,0.356,0.66,0.259,152,14,3.727272727272727,0.25151148730350664,0.10278113663845223,0.146,0.3576158940397351,26,25,26,0.66
2026,Cincinnati Reds,23,861,755,84,154,29,1,22,75,93,213,20,0.204,0.296,0.332,0.628,0.252,165,10,3.652173913043478,0.24738675958188153,0.10801393728222997,0.12800000000000003,0.33766233766233766,25,26,29,0.628
2026,Toronto Blue Jays,22,836,752,88,190,38,1,19,86,66,152,8,0.253,0.316,0.382,0.698,0.291,159,16,4.0,0.18181818181818182,0.07894736842105263,0.129,0.30526315789473685,24,22,16,0.698
2026,Boston Red Sox,22,831,733,89,171,39,2,13,84,77,198,13,0.233,0.318,0.345,0.663,0.301,156,20,4.045454545454546,0.23826714801444043,0.09265944645006016,0.11199999999999996,0.3157894736842105,23,20,24,0.663
2026,Colorado Rockies,23,857,772,92,188,40,2,23,89,66,221,24,0.244,0.31,0.39,0.7,0.31,154,12,4.0,0.25787631271878647,0.07701283547257877,0.14600000000000002,0.34574468085106386,21,22,15,0.7
2026,Texas Rangers,22,838,743,92,178,36,3,24,87,80,209,12,0.24,0.316,0.393,0.709,0.298,159,17,4.181818181818182,0.2494033412887828,0.0954653937947494,0.15300000000000002,0.3539325842696629,21,19,11,0.709
